iter	MAE	RMSE
0	0.1717045168	0.2184642763
1	0.1649141666	0.210090395
2	0.15930642	0.2025893975
3	0.1544509589	0.1963475265
4	0.1498895396	0.1904730832
5	0.1464626675	0.1858963731
6	0.1435222955	0.1818314897
7	0.1404007549	0.1774317485
8	0.1376565635	0.1736978618
9	0.1348126238	0.1699682047
10	0.1327048302	0.1672096086
11	0.1302930807	0.164172267
12	0.1276600939	0.1607647582
13	0.1256798396	0.1583425485
14	0.1235863721	0.1558535903
15	0.121674847	0.1536294195
16	0.1197043837	0.1512353527
17	0.1185535348	0.1496845902
18	0.1167575529	0.1473582524
19	0.1153453905	0.1454942656
20	0.1146846346	0.1444619543
21	0.1134920865	0.1429729812
22	0.1123761714	0.1415829251
23	0.1114264038	0.1403429617
24	0.1102658088	0.1390170932
25	0.1090004851	0.1375416321
26	0.1082606335	0.1366369474
27	0.1074033833	0.1355276795
28	0.1069905809	0.1348223456
29	0.1062934432	0.1339211631
30	0.1058767715	0.1332904407
31	0.1054920805	0.1327459191
32	0.104841944	0.1319434218
33	0.1043085345	0.131300328
34	0.1036945823	0.130699739
35	0.1030294352	0.1299532194
36	0.1025800695	0.1293655097
37	0.1016898397	0.1284166629
38	0.1008728659	0.1275243058
39	0.1006163518	0.1271340611
40	0.1003038404	0.1267158502
41	0.09975330712	0.1260467946
42	0.09956840078	0.1257793317
43	0.09918406548	0.1253251553
44	0.0983133414	0.1242919066
45	0.09804653817	0.1239478787
46	0.09785918017	0.1236693337
47	0.09738327327	0.1231332503
48	0.09718633254	0.1228610695
49	0.09694357075	0.1225742079
50	0.0967656116	0.1223198406
51	0.0966306911	0.1221232245
52	0.09635772963	0.1218257377
53	0.09618095593	0.1216233444
54	0.0960816592	0.1214497158
55	0.0956753523	0.1209787036
56	0.09557156431	0.1208263173
57	0.09534702382	0.1205876055
58	0.09507594847	0.1203007957
59	0.09470513003	0.1198880965
60	0.09460748303	0.1197506078
61	0.09443799468	0.119569134
62	0.09405606356	0.1190260129
63	0.09392396211	0.1188746289
64	0.09353928781	0.1183731861
65	0.0934461072	0.1182556989
66	0.09332189804	0.1180828452
67	0.09319003947	0.1179128206
68	0.09310485903	0.1177907256
69	0.09271762113	0.117272826
70	0.09266763001	0.1171806135
71	0.09235270195	0.1167626695
72	0.09232206603	0.1166979961
73	0.09218438193	0.116564165
74	0.09210346692	0.1164557329
75	0.09205506949	0.1163801922
76	0.09193696534	0.1162571467
77	0.09187779891	0.1161796978
78	0.09183680459	0.1161342988
79	0.09177901434	0.116045205
80	0.09152148423	0.115760847
81	0.09141082936	0.1156294509
82	0.09131131764	0.1155279349
83	0.09091125823	0.1150488049
84	0.09053167764	0.1146391485
85	0.09038341197	0.1144553105
86	0.09029247253	0.1143606389
87	0.09002347483	0.1139880376
88	0.08994594402	0.1138874456
89	0.08984214465	0.1137608187
90	0.089739678	0.1136496091
91	0.08966533576	0.1135454723
92	0.08954074266	0.1134036632
93	0.08951497445	0.1133513251
94	0.08943112215	0.113245038
95	0.08922927846	0.1130263285
96	0.0890965135	0.1128873417
97	0.08857157572	0.1122699955
98	0.08849957966	0.1121709584
99	0.08825883237	0.1118569494
100	0.08818133259	0.1117796459
101	0.08815934677	0.1117424779
102	0.08811329951	0.11167365
103	0.0879139102	0.1114720357
104	0.08757954509	0.1111096493
105	0.08736090715	0.110834224
106	0.0872732028	0.1107367292
107	0.0872493748	0.1107049672
108	0.08688174373	0.1102591807
109	0.08680725027	0.1101632246
110	0.08660567277	0.1099273756
111	0.08624917961	0.1094657225
112	0.08611398238	0.1093189301
113	0.08608410594	0.1092776517
114	0.08599020714	0.1091891446
115	0.0859208468	0.1091165987
116	0.08587230994	0.1090533534
117	0.08571795203	0.1088800353
118	0.08567039255	0.1088241493
119	0.08536484664	0.1084518212
120	0.08523677137	0.108305512
121	0.08520646501	0.1082637651
122	0.08515704121	0.1082061078
123	0.08511919932	0.1081570568
124	0.08505433702	0.1080804817
125	0.08499297877	0.1080085362
